小区名,地址,建造年限,,,,,
高庐御品江城,仪陇 - 德龙广场 - 滨江大道北二段39号,2015年竣工,,,,,
金源帝都,仪陇 - 德龙广场 - 春晖路二段2号,2019年竣工,,,,,
锦绣花园北区(仪陇),仪陇 - 德龙广场 - 锦绣路,2018年竣工,,,,,
远达金松湖畔,仪陇 - 德龙广场 - 云水路四段6号,2020年竣工,,,,,
龙城壹号,仪陇 - 德龙广场 - 宏德大道东三段1号,2016年竣工,,,,,
德龙广场,仪陇 - 德龙广场 - 琳琅大道一段63号,2008年竣工,,,,,
格林小镇,仪陇 - 德龙广场 - 金鱼街,2010年竣工,,,,,
恒益滨江国际,仪陇 - 德龙广场 - 滨江大道,2018年竣工,,,,,
优筑紫御府,仪陇 - 德龙广场 - 云水路三段52号,2020年竣工,,,,,
友助东方花园,仪陇 - 德龙广场 - 仁和街33号,2014年竣工,,,,,
帝景花园,仪陇 - 德龙广场 - 新南路四段63号,2009年竣工,,,,,
滨江名都,仪陇 - 德龙广场 - 滨江大道七段85号,2013年竣工,,,,,
江与城(仪陇县),仪陇 - 德龙广场 - 新南路,2015年竣工,,,,,
铭恒壹号公馆,仪陇 - 德龙广场 - 紫光街66号,2008年竣工,,,,,
首座,"仪陇 - 德龙广场 - 金鱼街,近春晖路",2006年竣工,,,,,
壹品江山(B区),仪陇 - 德龙广场 - 康宁街,2013年竣工,,,,,
领秀江山,仪陇 - 德龙广场 - 嘉欣路一段88号,2015年竣工,,,,,
陶然居(仪陇),仪陇 - 德龙广场 - 松海路,2013年竣工,,,,,
科达小区A区,仪陇 - 德龙广场 - 学府路146号,2005年竣工,,,,,
新苑香江公馆,仪陇 - 德龙广场 - 滨江大道九段,2012年竣工,,,,,
大东一安置区,仪陇 - 德龙广场 - 宏德大道,无,,,,,
锦绣尚郡,仪陇 - 仪陇周边 - 建设北路,无,,,,,
吉地景苑,仪陇 - 仪陇周边 - 瓦子乡街道77号,无,,,,,
雅园茗居,仪陇 - 德龙广场 - 丝绸路162号附1号,无,,,,,
新南社区一安置区,仪陇 - 德龙广场 - 永丰路70号,无,,,,,
南海人家,仪陇 - 仪陇周边 - 南海路25号,无,,,,,
西寺街285号小区,仪陇 - 仪陇周边 - 西寺街285号,无,,,,,
峰景豪庭,仪陇 - 仪陇周边 - 环山路100号,无,,,,,
滨河新城(南区),仪陇 - 德龙广场 - 锦绣路,无,,,,,
永丰路70号小区,仪陇 - 德龙广场 - 永丰路70号,无,,,,,
六一安置区,仪陇 - 德龙广场 - 望云路185号,无,,,,,
胜达花园,仪陇 - 德龙广场 - 宏德大道,2013年竣工,,,,,
万合小区,仪陇 - 德龙广场 - 锦绣路,2005年竣工,,,,,
嘉陵东路33号院,仪陇 - 德龙广场 - 嘉陵东路33号,2005年竣工,,,,,
领地印象,仪陇 - 德龙广场 - 仁德街,2015年竣工,,,,,
六一三安置区,仪陇 - 德龙广场 - 仁和街五段221号,2015年竣工,,,,,
仁和安置区二区,仪陇 - 德龙广场 - 仁德街44号附7号,2015年竣工,,,,,
阳光苑,仪陇 - 德龙广场 - 商贸南街56号,2008年竣工,,,,,
兆祥小区,仪陇 - 德龙广场 - 宏德大道,2005年竣工,,,,,
东南四安置区,仪陇 - 德龙广场 - 幸福路170号,2013年竣工,,,,,
朝阳金都,仪陇 - 德龙广场 - 商贸南街,2013年竣工,,,,,
兴安路2号院,仪陇 - 仪陇周边 - 兴安路2号,2005年竣工,,,,,
四季花园(仪陇),仪陇 - 仪陇周边 - 鞍山路10号,2013年竣工,,,,,
林家桥安置区,仪陇 - 德龙广场 - 人民路466号,2014年竣工,,,,,
科达小区B区,仪陇 - 德龙广场 - 两宫路,2005年竣工,,,,,
学府小区(仪陇),仪陇 - 德龙广场 - 两宫路100号,2005年竣工,,,,,
金泉丽景,仪陇 - 德龙广场 - 滨江大道,2014年竣工,,,,,
两宫路小区,仪陇 - 德龙广场 - 两宫路,2005年竣工,,,,,
杏林小区(仪陇),仪陇 - 德龙广场 - 两宫路31号,2018年竣工,,,,,
学府路146号院,仪陇 - 德龙广场 - 学府路146号,2005年竣工,,,,,
碧水云天(仪陇),仪陇 - 德龙广场 - 滨江大道,2013年竣工,,,,,
观江花园,仪陇 - 德龙广场 - 渔田路164号,2014年竣工,,,,,
学府苑,仪陇 - 德龙广场 - 学府路151号,2008年竣工,,,,,
兴贸街1号院,仪陇 - 德龙广场 - 兴贸街1号,2005年竣工,,,,,
西寺街391号院,仪陇 - 仪陇周边 - 西寺街391号,2005年竣工,,,,,
普济路11号小区,仪陇 - 仪陇周边 - 普济路11号,2005年竣工,,,,,
林芝花园,仪陇 - 仪陇周边 - 农坛路,2014年竣工,,,,,
金旭鸿鑫苑,仪陇 - 仪陇周边 - 兴安路一段1号,2008年竣工,,,,,
厚德苑,仪陇 - 德龙广场 - 人民北路158号,2019年竣工,,,,,
宏宇花苑,仪陇 - 德龙广场 - 仁和街四段48号,2004年竣工,,,,,
人民路27号小区,仪陇 - 德龙广场 - 人民路27号,2005年竣工,,,,,
方舟中央广场,仪陇 - 仪陇周边 - 东环路,2013年竣工,,,,,
金田苑,仪陇 - 德龙广场 - 嘉陵江二桥,2008年竣工,,,,,
东北社区一安置区,仪陇 - 德龙广场 - 渔田路30号,2005年竣工,,,,,
星城广场,仪陇 - 德龙广场 - 云水路,2014年竣工,,,,,
鸿界富海华庭,仪陇 - 德龙广场 - 紫云街,2013年竣工,,,,,
星城天樾小区,仪陇 - 德龙广场 - 琳琅大道,2005年竣工,,,,,
崇德居,仪陇 - 德龙广场 - 望云路66号,2005年竣工,,,,,
文化路小区(仪陇),仪陇 - 德龙广场 - 文化路31号,2005年竣工,,,,,
五星花园(仪陇),仪陇 - 德龙广场 - 嘉陵东路11号,2016年竣工,,,,,
盛世方洲,仪陇 - 德龙广场 - 状元街53号,2013年竣工,,,,,
东南国际小区,仪陇 - 德龙广场 - 嘉陵西路273号,2005年竣工,,,,,
鼎仁恒骏府,仪陇 - 德龙广场 - 隆城大道,2022年竣工,,,,,
解放三安置区,仪陇 - 德龙广场 - 嘉欣路,2013年竣工,,,,,
学府雅苑,仪陇 - 仪陇周边 - 文化路,2008年竣工,,,,,
嘉欣苑,仪陇 - 德龙广场 - 嘉欣路3段38号附10号,2008年竣工,,,,,
万寿小区,仪陇 - 德龙广场 - 新政正街,2005年竣工,,,,,
宏德苑,仪陇 - 德龙广场 - 康宁街一段83号,2008年竣工,,,,,
金色丽景,仪陇 - 德龙广场 - 琳琅大道六段19号,2014年竣工,,,,,
紫U苑,仪陇 - 德龙广场 - 琳琅大道七段103号,2008年竣工,,,,,
远达金澜天玺,仪陇 - 德龙广场 - 仁德街201号,2015年竣工,,,,,
欣邦悦湖郡,仪陇 - 德龙广场 - 云水路八段2号,2015年竣工,,,,,
锦绣花园南区(仪陇),仪陇 - 德龙广场 - 锦绣路,2006年竣工,,,,,
恒创世纪城,仪陇 - 德龙广场 - 琅大道北五段9号,2015年竣工,,,,,
南海明珠,仪陇 - 仪陇周边 - 南海路,2015年竣工,,,,,
六一二安置区,仪陇 - 德龙广场 - 吉庆街一段18号,2005年竣工,,,,,
蓉信苑小区,仪陇 - 德龙广场 - 琳琅大道五段40号,2005年竣工,,,,,
万德小区,仪陇 - 德龙广场 - 琳琅大道二段9号,2007年竣工,,,,,
油金小区,仪陇 - 德龙广场 - 两宫路166号,2005年竣工,,,,,
金城华府,仪陇 - 仪陇周边 - 环山路70号,2014年竣工,,,,,
和谐家园,仪陇 - 德龙广场 - 大禹街36号,2014年竣工,,,,,
松海小区,仪陇 - 德龙广场 - 嘉陵西路169号,2005年竣工,,,,,
金华苑,仪陇 - 德龙广场 - 云水路二段62号,2008年竣工,,,,,
金山花园,仪陇 - 德龙广场 - 宏德大道二段112号,2005年竣工,,,,,
金叶小区,仪陇 - 德龙广场 - 琳琅大道3段32号,2005年竣工,,,,,
锦弘苑二期,仪陇 - 德龙广场 - 琳琅大道三段30附5号,2005年竣工,,,,,
解放二安置区,仪陇 - 德龙广场 - 锦绣路,2015年竣工,,,,,
领秀清华小区,仪陇 - 德龙广场 - 人民北路,2008年竣工,,,,,
雍景景园(南区),仪陇 - 德龙广场 - 渔田路97号,2015年竣工,,,,,
雍景景园(北区),仪陇 - 德龙广场 - 渔田路116号,2013年竣工,,,,,
临江府邸B区,仪陇 - 德龙广场 - 康宁街五段36号,2005年竣工,,,,,
金科集美天悦,仪陇 - 德龙广场 - 宏德大道,1997年竣工,,,,,
临江府邸A区,仪陇 - 德龙广场 - 宏德大道二段89号,2019年竣工,,,,,
锦弘苑,仪陇 - 德龙广场 - 商旺街二段21号,2008年竣工,,,,,
仁和小区(仪陇),仪陇 - 德龙广场 - 嘉陵东路28号,2007年竣工,,,,,
世纪明珠,仪陇 - 德龙广场 - 琳琅大道28号,2008年竣工,,,,,
跃进二安置区北区,仪陇 - 德龙广场 - 仁和街,2015年竣工,,,,,
跃进三安置区,仪陇 - 德龙广场 - 仁和街,2015年竣工,,,,,
壹品江山(A区),仪陇 - 德龙广场 - 宏德大道三段53号,2010年竣工,,,,,
友助欣城,仪陇 - 德龙广场 - 宏德大道2段72号,2013年竣工,,,,,
美域滨江,仪陇 - 德龙广场 - 滨江大道一段33号,2019年竣工,,,,,
兆祥铂金时代,仪陇 - 德龙广场 - 康宁街四段12号,2008年竣工,,,,,
跃进一安置区,仪陇 - 德龙广场 - 琳琅大道,2013年竣工,,,,,
玉锦华府,仪陇 - 德龙广场 - 锦绣路六段64号,2015年竣工,,,,,
御景江山(仪陇县),仪陇 - 德龙广场 - 宏德大道27号,2012年竣工,,,,,
东山丽景,仪陇 - 德龙广场 - 望云路133号,2005年竣工,,,,,
大东二安置区,仪陇 - 德龙广场 - 金鱼街,2005年竣工,,,,,
江岸名苑,仪陇 - 德龙广场 - 锦绣路5段36号,2008年竣工,,,,,
滨河新城(北区),"仪陇 - 德龙广场 - 锦绣路五段,近嘉欣路四段",2013年竣工,,,,,
锦江名居,仪陇 - 德龙广场 - 商旺街4段29号,2015年竣工,,,,,
水岸新城,仪陇 - 德龙广场 - 嘉欣路五段34号,2010年竣工,,,,,
金鸿山水城(仪陇县),仪陇 - 德龙广场 - 春晖路四段2号,2016年竣工,,,,,
巴黎名都,仪陇 - 德龙广场 - 滨江大道,2017年竣工,,,,,
君临天下国际花园,仪陇 - 德龙广场 - 新南路四段70号,2010年竣工,,,,,
金城名都,仪陇 - 仪陇周边 - 建设北路227号,2015年竣工,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,125
