小区名,地址,楼层高度,建造年限
绿地城上海滩花园(三期),顺庆火车北站潆华北路,低层(共26层),
博雅豪庭,顺庆白土坝潆华南路二段158号,低层(共25层),
恒大中航城(二期),顺庆清泉坝澄泉路,低层(共24层),
佳兆业君临,顺庆白土坝凤鸣路18号,高层(共25层),
滨江首座(顺庆),顺庆滨江大道滨江中路一段407号,低层(共32层),
恒大中航城(二期),顺庆清泉坝澄泉路,高层(共27层),
恒大中航城(二期),顺庆清泉坝澄泉路,高层(共27层),
北岭颐园(北区),顺庆白土坝潆华南路2段68号,中层(共6层),
龙吟瑞景,顺庆市政新区镇江西路一段55号,共3层,
蓝光香江国际,顺庆南门坝南门北街80号,中层(共34层),
泰合尚渡,顺庆金鱼岭滨江中路一段97号,中层(共30层),
春风玫瑰园,顺庆市政新区万年西路93号,中层(共11层),
蓝光COCO香江二期,顺庆清泉坝清池路19号,中层(共30层),
春风玫瑰园,顺庆市政新区万年西路93号,低层(共6层),
马电花园,顺庆市政新区滨江北路二段72号,低层(共6层),
龙吟华城,顺庆金鱼岭龙吟路33号,低层(共6层),
金色愿景东苑,顺庆市政新区清风北路一段58号,中层(共33层),
骏达小区,顺庆顺庆五星花园双福街71号,中层(共6层),
恒大中航城(二期),顺庆清泉坝澄泉路,高层(共27层),
恒大中航城(二期),顺庆清泉坝澄泉路,中层(共27层),
恒大中航城(二期),顺庆清泉坝澄泉路,中层(共27层),
蓝光雍锦半岛,顺庆清泉坝澄泉路159号,高层(共30层),
辉宇都市泊岸,顺庆潆溪潆康南路316号,低层(共6层),
科兴印月湾,顺庆潆溪高新大道一段202号,,
科兴印月湾,顺庆潆溪高新大道一段202号,,
蓝光雍锦半岛,顺庆清泉坝澄泉路159号,低层(共11层),
清泉小区东区,顺庆市政新区清风北路二段28号,低层(共6层),
蓝光雍锦半岛,顺庆清泉坝澄泉路159号,低层(共11层),
塞维利亚,顺庆市政新区清泉寺北路23号,中层(共10层),
恒大绿洲,顺庆恒大绿洲府荆大道南段26号,高层(共32层),
coco香江三期,顺庆清泉坝清嘉路,高层(共37层),
和锦名苑,顺庆市政新区清泉寺南路31号,高层(共31层),
北岭颐园(北区),顺庆白土坝潆华南路2段68号,中层(共6层),
蓝光雍锦半岛,顺庆清泉坝澄泉路159号,高层(共30层),
北岭颐园(北区),顺庆白土坝潆华南路2段68号,高层(共6层),
北岭颐园(北区),顺庆白土坝潆华南路2段68号,中层(共6层),
市委机关生活区,顺庆北湖公园北湖路118号,高层(共7层),
蓝光雍锦半岛,顺庆清泉坝澄泉路159号,高层(共32层),
石油新城东二区,顺庆市政新区镇江东路二段17号,低层(共11层),
鸿通文德中央大境,顺庆市公安局潆华中路二段,低层(共26层),
碧桂园凤栖阁,顺庆北干道金鱼岭路525号,中层(共11层),
敏捷星汇源著,顺庆市公安局华泰路,中层(共26层),
金为领地悦城,顺庆马市铺华荣路一段299号,低层(共28层),
尚水佳苑,顺庆市政新区规划八路,中层(共23层),
塞维利亚,顺庆市政新区清泉寺北路23号,低层(共6层),
清泉小区西区,顺庆市政新区清风北路二段19号,低层(共6层),
尚水佳苑,顺庆市政新区规划八路,中层(共23层),
绸厂上院宿舍,顺庆火车站延安路,共5层,
铁投锦华府,顺庆华凤锦程路108号,高层(共26层),
蓝光雍锦半岛,顺庆清泉坝澄泉路159号,高层(共33层),
金科集美天宸(二期),顺庆清泉坝清池路126号,中层(共28层),
印象森林,顺庆市政新区环都大道一段59号,低层(共33层),
天府明珠,顺庆市政新区滨江北路三段56号,低层(共31层),
鸿升凯旋城,顺庆滨江大道滨江北路一段,中层(共24层),
欧香小镇,顺庆白土坝潆华中路二段429号,中层(共31层),
春风玫瑰园,顺庆市政新区万年西路93号,高层(共24层),
凌凯春天,顺庆市政新区茂源北路173号,低层(共18层),
欧香小镇,顺庆白土坝潆华中路二段429号,中层(共31层),
欧香小镇,顺庆白土坝潆华中路二段429号,中层(共31层),
欧香小镇,顺庆白土坝潆华中路二段429号,中层(共31层),
云庐,顺庆火车站华生东路98号,低层(共25层),
欧香小镇,顺庆白土坝潆华中路二段429号,中层(共32层),
锦上花苑,顺庆市政新区清泉寺南路3号,低层(共17层),
南充公馆,顺庆市政新区万年东路36号,中层(共11层),
尚品观邸,顺庆市政新区镇江西路36号,中层(共26层),
新豪天地,顺庆白土坝白土坝路,低层(共26层),
鸿通南充院子,顺庆华凤佳华路219号,低层(共22层),
欧香小镇,顺庆白土坝潆华中路二段429号,中层(共32层),
绿地城上海滩花园(三期),顺庆火车北站潆华北路,低层(共26层),
领地天屿,顺庆华凤金鱼岭路599号,低层(共24层),
金鸿城三期归谷,顺庆华凤锦程路327号,中层(共18层),
宏宇心悦国际,顺庆市政新区玉秀路11号,低层(共18层),
江与城(顺庆),顺庆市政新区清泉寺北路12号,低层(共28层),
欧香小镇,顺庆白土坝潆华中路二段429号,低层(共31层),
蓝光雍锦半岛,顺庆清泉坝澄泉路159号,低层(共31层),
印象森林,顺庆市政新区环都大道一段59号,低层(共33层),
春风玫瑰园,顺庆市政新区万年西路93号,中层(共24层),
江与城(顺庆),顺庆市政新区清泉寺北路12号,低层(共31层),
江与城(顺庆),顺庆市政新区清泉寺北路12号,低层(共27层),
恒大中航城(二期),顺庆清泉坝澄泉路,低层(共26层),
金树湾,顺庆市政新区镇江西路二段133号,低层(共24层),
鸿通春天花城,顺庆华凤站前大道一段6号,低层(共25层),
滨江首座(顺庆),顺庆滨江大道滨江中路一段407号,低层(共32层),
绿地城上海滩花园(一区),顺庆火车北站潆华北路一段,低层(共27层),
绿地城上海滩花园(一区),顺庆火车北站潆华北路一段,低层(共25层),
中南世纪城,顺庆滨江大道清澜路二段1号,低层(共28层),
蓝光COCO香江,顺庆清泉坝饮泉路36号,低层(共26层),
香槟小城(二区),顺庆火车站伍家坡街76号,低层(共26层),
蓝光COCO香江二期,顺庆清泉坝清池路19号,低层(共31层),
石油新城东二区,顺庆市政新区镇江东路二段17号,低层(共11层),
西蜀嘉园,顺庆市政新区锦程路269号,中层(共29层),
铁投锦华府,顺庆华凤锦程路108号,低层(共26层),
马电花园,顺庆市政新区滨江北路二段72号,低层(共26层),
锦上花苑,顺庆市政新区清泉寺南路3号,中层(共16层),
筑韵丽都花园,顺庆市政新区镇江西路二段173号,低层(共27层),
蓝光COCO香江,顺庆清泉坝饮泉路36号,低层(共26层),
绿地城上海滩花园(三期),顺庆火车北站潆华北路,中层(共27层),
天府明珠,顺庆市政新区滨江北路三段56号,低层(共18层),
春风玫瑰园,顺庆市政新区万年西路93号,中层(共11层),
绿地城上海滩花园(一区),顺庆火车北站潆华北路一段,中层(共25层),
绿地城上海滩花园(一区),顺庆火车北站潆华北路一段,低层(共25层),
凌凯春天,顺庆市政新区茂源北路173号,低层(共18层),
中南世纪城,顺庆滨江大道清澜路二段1号,低层(共28层),
南充公馆,顺庆市政新区万年东路36号,中层(共11层),
宏宇心悦国际,顺庆市政新区玉秀路11号,低层(共18层),
印象森林,顺庆市政新区环都大道一段59号,低层(共33层),
欧香小镇,顺庆白土坝潆华中路二段429号,低层(共31层),
铁投锦华府,顺庆华凤锦程路108号,低层(共26层),
锦上花苑,顺庆市政新区清泉寺南路3号,中层(共16层),
凌凯春天,顺庆市政新区茂源北路173号,低层(共18层),
宏宇心悦国际,顺庆市政新区玉秀路11号,低层(共18层),
欧香小镇,顺庆白土坝潆华中路二段429号,低层(共31层),
铁投锦华府,顺庆华凤锦程路108号,低层(共26层),
锦上花苑,顺庆市政新区清泉寺南路3号,中层(共16层),
欧香小镇,顺庆白土坝潆华中路二段429号,低层(共31层),
欧香小镇,顺庆白土坝潆华中路二段429号,低层(共31层),
欧香小镇,顺庆白土坝潆华中路二段429号,低层(共31层),
欧香小镇,顺庆白土坝潆华中路二段429号,低层(共31层),
欧香小镇,顺庆白土坝潆华中路二段429号,低层(共31层),
欧香小镇,顺庆白土坝潆华中路二段429号,低层(共31层),
蓝光COCO香江,顺庆清泉坝饮泉路36号,低层(共25层),
尚水佳苑,顺庆市政新区规划八路,低层(共23层),
海润滨江,顺庆滨江大道滨江中路一段,低层(共25层),
海润滨江,顺庆滨江大道滨江中路一段,中层(共26层),
南充恒大中航城,顺庆清泉坝清嘉路168号,中层(共33层),
欧香小镇,顺庆白土坝潆华中路二段429号,低层(共33层),
鸿通春天花城,顺庆华凤站前大道一段6号,低层(共13层),
江与城(顺庆),顺庆市政新区清泉寺北路12号,低层(共27层),
恒大中航城(二期),顺庆清泉坝澄泉路,低层(共27层),
锦上花苑,顺庆市政新区清泉寺南路3号,中层(共18层),
仁和春天花园,顺庆华凤潆华南路一段53号,共3层,
江与城(顺庆),顺庆市政新区清泉寺北路12号,低层(共32层),
凌凯春天,顺庆市政新区茂源北路173号,低层(共18层),
江与城(顺庆),顺庆市政新区清泉寺北路12号,低层(共32层),
江与城(顺庆),顺庆市政新区清泉寺北路12号,低层(共32层),
泰合青年城,顺庆滨江大道胜利路,中层(共27层),
恒大绿洲,顺庆恒大绿洲府荆大道南段26号,高层(共32层),
春风玫瑰园,顺庆市政新区万年西路93号,中层(共24层),
鸿升凯旋城,顺庆滨江大道滨江北路一段,高层(共31层),
锦绣华庭(顺庆区),顺庆白土坝华亭路26号,中层(共30层),
江与城(顺庆),顺庆市政新区清泉寺北路12号,低层(共27层),
江与城(顺庆),顺庆市政新区清泉寺北路12号,中层(共32层),
泰合尚渡,顺庆金鱼岭滨江中路一段97号,中层(共30层),
欧香小镇,顺庆白土坝潆华中路二段429号,高层(共31层),
绿地城上海滩花园(三期),顺庆火车北站潆华北路,低层(共25层),
锦上花苑,顺庆市政新区清泉寺南路3号,低层(共17层),
滨江天地,顺庆市政新区规划八路,低层(共31层),
江与城(顺庆),顺庆市政新区清泉寺北路12号,低层(共32层),
南充恒大中航城,顺庆清泉坝清嘉路168号,共1层,
春风玫瑰园,顺庆市政新区万年西路93号,中层(共11层),
中南世纪城,顺庆滨江大道清澜路二段1号,低层(共27层),
金色愿景东苑,顺庆市政新区清风北路一段58号,低层(共32层),
恒大中航城(二期),顺庆清泉坝澄泉路,中层(共26层),
春风玫瑰园,顺庆市政新区万年西路93号,低层(共11层),
欧香小镇,顺庆白土坝潆华中路二段429号,低层(共31层),
欧香小镇,顺庆白土坝潆华中路二段429号,高层(共32层),
中南世纪城,顺庆滨江大道清澜路二段1号,中层(共27层),
蓝光COCO香江二期,顺庆清泉坝清池路19号,中层(共27层),
绿地城上海滩花园(一区),顺庆火车北站潆华北路一段,中层(共28层),
中南世纪城,顺庆滨江大道清澜路二段1号,低层(共26层),
海润滨江,顺庆滨江大道滨江中路一段,中层(共31层),
恒河罗曼威森,顺庆华凤北湖路99号,低层(共22层),
天乙华府,顺庆滨江大道滨江中路1段501号,中层(共6层),
海润滨江,顺庆滨江大道滨江中路一段,中层(共28层),
海润滨江,顺庆滨江大道滨江中路一段,中层(共33层),
金色愿景,顺庆市政新区环都大道二段17号,高层(共25层),
尚水佳苑,顺庆市政新区规划八路,中层(共30层),
凌凯春天,顺庆市政新区茂源北路173号,低层(共18层),
锦绣华庭(顺庆区),顺庆白土坝华亭路26号,中层(共30层),
欧香小镇,顺庆白土坝潆华中路二段429号,高层(共31层),
天乙华府,顺庆滨江大道滨江中路1段501号,中层(共6层),
江与城(顺庆),顺庆市政新区清泉寺北路12号,低层(共32层),
锦绣华庭(顺庆区),顺庆白土坝华亭路26号,中层(共30层),
凌凯春天,顺庆市政新区茂源北路173号,低层(共18层),
欧香小镇,顺庆白土坝潆华中路二段429号,高层(共31层),
锦绣华庭(顺庆区),顺庆白土坝华亭路26号,中层(共30层),
锦绣华庭(顺庆区),顺庆白土坝华亭路26号,中层(共30层),
锦绣华庭(顺庆区),顺庆白土坝华亭路26号,中层(共30层),
锦绣华庭(顺庆区),顺庆白土坝华亭路26号,中层(共30层),
锦绣华庭(顺庆区),顺庆白土坝华亭路26号,中层(共30层),
鸿通翡翠城檀府,顺庆恒大绿洲通江大道,低层(共11层),
南充恒大中航城,顺庆清泉坝清嘉路168号,中层(共29层),
绿地城上海滩花园(三期),顺庆火车北站潆华北路,低层(共17层),
泰合尚渡,顺庆金鱼岭滨江中路一段97号,中层(共32层),
尚水佳苑,顺庆市政新区规划八路,低层(共23层),
尚水佳苑,顺庆市政新区规划八路,中层(共24层),
春风玫瑰园,顺庆市政新区万年西路93号,中层(共24层),
江与城(顺庆),顺庆市政新区清泉寺北路12号,低层(共32层),
恒大绿洲,顺庆恒大绿洲府荆大道南段26号,低层(共32层),
江与城(顺庆),顺庆市政新区清泉寺北路12号,中层(共32层),
滨江学府,顺庆火车站滨江北路一段,低层(共29层),
天府明珠,顺庆市政新区滨江北路三段56号,低层(共32层),
尚品观邸,顺庆市政新区镇江西路36号,低层(共26层),
江与城(顺庆),顺庆市政新区清泉寺北路12号,中层(共32层),
江与城(顺庆),顺庆市政新区清泉寺北路12号,中层(共32层),
美宇凤凰城,顺庆市政新区四海街81号,中层(共28层),
南充恒大中航城,顺庆清泉坝清嘉路168号,低层(共27层),
印象森林,顺庆市政新区环都大道一段59号,中层(共32层),
泰合青年城,顺庆滨江大道胜利路,中层(共33层),
中南世纪城,顺庆滨江大道清澜路二段1号,低层(共27层),
博雅豪庭,顺庆白土坝潆华南路二段158号,中层(共25层),
凌凯春天,顺庆市政新区茂源北路173号,低层(共18层),
中南世纪城,顺庆滨江大道清澜路二段1号,低层(共27层),
绿地城上海滩花园(三期),顺庆火车北站潆华北路,中层(共29层),
锦上花苑,顺庆市政新区清泉寺南路3号,中层(共11层),
江与城(顺庆),顺庆市政新区清泉寺北路12号,低层(共30层),
金科集美天宸(二期),顺庆清泉坝清池路126号,低层(共31层),
绿地城上海滩花园(三期),顺庆火车北站潆华北路,低层(共27层),
滨江首座(顺庆),顺庆滨江大道滨江中路一段407号,低层(共18层),
泰合尚渡,顺庆金鱼岭滨江中路一段97号,中层(共31层),
蓝光COCO香江,顺庆清泉坝饮泉路36号,低层(共26层),
铁投锦华府,顺庆华凤锦程路108号,低层(共26层),
绿地城上海滩花园(一区),顺庆火车北站潆华北路一段,低层(共25层),
蓝光COCO香江,顺庆清泉坝饮泉路36号,中层(共33层),
江与城(顺庆),顺庆市政新区清泉寺北路12号,低层(共32层),
宝信金色广场,顺庆华凤华生西路16号,低层(共32层),
金科集美天宸(二期),顺庆清泉坝清池路126号,低层(共32层),
博雅豪庭,顺庆白土坝潆华南路二段158号,中层(共25层),
金科集美天宸(二期),顺庆清泉坝清池路126号,低层(共33层),
瑞露嘉都彼岸,顺庆南门坝文峰街二段33号,中层(共28层),
蓝光COCO香江二期,顺庆清泉坝清池路19号,低层(共27层),
绿地城上海滩花园(三期),顺庆火车北站潆华北路,低层(共27层),
印象森林,顺庆市政新区环都大道一段59号,中层(共6层),
金科集美天宸(一期),顺庆清泉坝清嘉路282号,低层(共25层),
江与城(顺庆),顺庆市政新区清泉寺北路12号,中层(共32层),
南充公馆,顺庆市政新区万年东路36号,中层(共11层),
泰合尚渡,顺庆金鱼岭滨江中路一段97号,中层(共33层),
江与城(顺庆),顺庆市政新区清泉寺北路12号,低层(共32层),
恒大绿洲,顺庆恒大绿洲府荆大道南段26号,低层(共32层),
博雅豪庭,顺庆白土坝潆华南路二段158号,中层(共25层),
泰合尚渡,顺庆金鱼岭滨江中路一段97号,中层(共33层),
江与城(顺庆),顺庆市政新区清泉寺北路12号,低层(共31层),
绿地城上海滩花园(一区),顺庆火车北站潆华北路一段,低层(共25层),
博雅豪庭,顺庆白土坝潆华南路二段158号,中层(共25层),
金科集美天宸(一期),顺庆清泉坝清嘉路282号,低层(共29层),
博雅豪庭,顺庆白土坝潆华南路二段158号,中层(共25层),
绿地城上海滩花园(一区),顺庆火车北站潆华北路一段,低层(共25层),
博雅豪庭,顺庆白土坝潆华南路二段158号,中层(共25层),
博雅豪庭,顺庆白土坝潆华南路二段158号,中层(共25层),
博雅豪庭,顺庆白土坝潆华南路二段158号,中层(共25层),
春风玫瑰园,顺庆市政新区万年西路93号,中层(共24层),
蓝光COCO香江二期,顺庆清泉坝清池路19号,低层(共27层),
西蜀嘉园,顺庆市政新区锦程路269号,中层(共27层),
恒大中航城(二期),顺庆清泉坝澄泉路,高层(共27层),
佳信阳光香缇,顺庆市政新区镇江西路二段101号,中层(共18层),
佳信阳光香缇,顺庆市政新区镇江西路二段101号,中层(共18层),
恒大中航城(二期),顺庆清泉坝澄泉路,中层(共24层),
中南世纪城,顺庆滨江大道清澜路二段1号,低层(共25层),
江与城(顺庆),顺庆市政新区清泉寺北路12号,中层(共32层),
和锦名苑,顺庆市政新区清泉寺南路31号,低层(共22层),
春风玫瑰园,顺庆市政新区万年西路93号,高层(共26层),
江与城(顺庆),顺庆市政新区清泉寺北路12号,中层(共30层),
蓝光COCO香江,顺庆清泉坝饮泉路36号,高层(共26层),
锦上花苑,顺庆市政新区清泉寺南路3号,中层(共11层),
欧香小镇,顺庆白土坝潆华中路二段429号,高层(共33层),
锦上花苑,顺庆市政新区清泉寺南路3号,低层(共18层),
欧香小镇,顺庆白土坝潆华中路二段429号,中层(共29层),
欧香小镇,顺庆白土坝潆华中路二段429号,中层(共31层),
绿地城上海滩花园(二区),顺庆火车北站潆华北路二段,高层(共28层),
蓝光COCO香江,顺庆清泉坝饮泉路36号,中层(共33层),
蓝光COCO香江二期,顺庆清泉坝清池路19号,低层(共25层),
春风玫瑰园,顺庆市政新区万年西路93号,低层(共10层),
春风玫瑰园,顺庆市政新区万年西路93号,高层(共27层),
博雅豪庭,顺庆白土坝潆华南路二段158号,中层(共25层),
滨江首座(顺庆),顺庆滨江大道滨江中路一段407号,中层(共27层),
中南世纪城,顺庆滨江大道清澜路二段1号,低层(共27层),
南充公馆,顺庆市政新区万年东路36号,中层(共10层),
中南世纪城,顺庆滨江大道清澜路二段1号,中层(共26层),
蓝光COCO香江二期,顺庆清泉坝清池路19号,高层(共27层),
蓝光COCO香江二期,顺庆清泉坝清池路19号,高层(共26层),
尚品观邸,顺庆市政新区镇江西路36号,中层(共27层),
中南世纪城,顺庆滨江大道清澜路二段1号,中层(共28层),
鸿通春天花城,顺庆华凤站前大道一段6号,中层(共11层),
博雅豪庭,顺庆白土坝潆华南路二段158号,中层(共31层),
天府明珠,顺庆市政新区滨江北路三段56号,低层(共31层),
海润滨江,顺庆滨江大道滨江中路一段,高层(共32层),
滨江天地,顺庆市政新区规划八路,中层(共28层),
蓝光COCO香江二期,顺庆清泉坝清池路19号,高层(共27层),
恒大绿洲,顺庆恒大绿洲府荆大道南段26号,高层(共32层),
龙吟锦城,顺庆金鱼岭水郡路41号,中层(共17层),
恒河罗曼威森,顺庆华凤北湖路99号,中层(共11层),
佳信阳光香缇,顺庆市政新区镇江西路二段101号,低层(共6层),
锦上花苑,顺庆市政新区清泉寺南路3号,低层(共17层),
锦上花苑,顺庆市政新区清泉寺南路3号,低层(共18层),
恒大绿洲,顺庆恒大绿洲府荆大道南段26号,中层(共32层),
博雅豪庭,顺庆白土坝潆华南路二段158号,中层(共25层),
中南世纪城,顺庆滨江大道清澜路二段1号,中层(共26层),
欧香小镇,顺庆白土坝潆华中路二段429号,中层(共31层),
蓝光COCO香江,顺庆清泉坝饮泉路36号,低层(共29层),
春风玫瑰园,顺庆市政新区万年西路93号,高层(共24层),
欧香小镇,顺庆白土坝潆华中路二段429号,低层(共30层),
蓝光COCO香江二期,顺庆清泉坝清池路19号,低层(共30层),
鸿通南充院子,顺庆华凤佳华路219号,低层(共11层),
江与城(顺庆),顺庆市政新区清泉寺北路12号,中层(共32层),
锦上花苑,顺庆市政新区清泉寺南路3号,低层(共18层),
尚品观邸,顺庆市政新区镇江西路36号,中层(共27层),
天府明珠,顺庆市政新区滨江北路三段56号,低层(共31层),
博雅豪庭,顺庆白土坝潆华南路二段158号,中层(共25层),
鸿通南充院子,顺庆华凤佳华路219号,低层(共11层),
江与城(顺庆),顺庆市政新区清泉寺北路12号,中层(共32层),
北岭颐园(北区),顺庆白土坝潆华南路2段68号,中层(共6层),
江与城(顺庆),顺庆市政新区清泉寺北路12号,低层(共32层),
蓝光COCO香江二期,顺庆清泉坝清池路19号,低层(共27层),
蓝光香江国际,顺庆南门坝南门北街80号,低层(共34层),
滨江天地,顺庆市政新区规划八路,高层(共30层),
石油新城东二区,顺庆市政新区镇江东路二段17号,低层(共18层),
博雅豪庭,顺庆白土坝潆华南路二段158号,中层(共25层),
云庐,顺庆火车站华生东路98号,高层(共25层),
中南世纪城,顺庆滨江大道清澜路二段1号,中层(共28层),
佳信阳光香缇,顺庆市政新区镇江西路二段101号,高层(共6层),
欧香小镇,顺庆白土坝潆华中路二段429号,高层(共29层),
石油新城东二区,顺庆市政新区镇江东路二段17号,高层(共11层),
中南世纪城,顺庆滨江大道清澜路二段1号,低层(共27层),
绿地城上海滩花园(三期),顺庆火车北站潆华北路,高层(共26层),
绿地城上海滩花园(一区),顺庆火车北站潆华北路一段,中层(共26层),
蓝光COCO香江,顺庆清泉坝饮泉路36号,高层(共27层),
鸿通南充院子,顺庆华凤佳华路219号,低层(共11层),
鸿通翡翠城檀府,顺庆恒大绿洲通江大道,中层(共28层),
马电花园,顺庆市政新区滨江北路二段72号,中层(共11层),
龙川半岛,顺庆西山丹桂路19号,中层(共26层),
佳信阳光香缇,顺庆市政新区镇江西路二段101号,高层(共6层),
蓝光COCO香江,顺庆清泉坝饮泉路36号,高层(共33层),
蓝光COCO香江,顺庆清泉坝饮泉路36号,高层(共33层),
春风玫瑰园,顺庆市政新区万年西路93号,中层(共11层),
恒河罗曼威森,顺庆华凤北湖路99号,低层(共32层),
铁投锦华府,顺庆华凤锦程路108号,中层(共26层),
恒大中航城(二期),顺庆清泉坝澄泉路,中层(共17层),
梧桐苑,顺庆市公安局玉秀路30号,低层(共6层),
汇金国际,顺庆白土坝白土坝路239号,低层(共28层),
金玉丽都,顺庆火车站铁欣路308号,高层(共33层),
欧香小镇,顺庆白土坝潆华中路二段429号,中层(共32层),
金玉丽都,顺庆火车站铁欣路308号,高层(共33层),
北岭颐园(北区),顺庆白土坝潆华南路2段68号,中层(共6层),
美宇凤凰城,顺庆市政新区四海街81号,高层(共18层),
悠山丽景,顺庆华凤潆华南路96号,中层(共15层),
江与城(顺庆),顺庆市政新区清泉寺北路12号,中层(共16层),
金色愿景东苑,顺庆市政新区清风北路一段58号,中层(共33层),
蓝光COCO香江二期,顺庆清泉坝清池路19号,中层(共27层),
美宇凤凰城,顺庆市政新区四海街81号,中层(共6层),
蓝光COCO香江,顺庆清泉坝饮泉路36号,低层(共24层),
滨江首座(顺庆),顺庆滨江大道滨江中路一段407号,中层(共32层),
恒河常春藤大院,顺庆市政新区清风南路10号,高层(共34层),
金科集美天宸(一期),顺庆清泉坝清嘉路282号,低层(共29层),
恒大中航城(二期),顺庆清泉坝澄泉路,低层(共25层),
石油新城东二区,顺庆市政新区镇江东路二段17号,低层(共6层),
蓝光COCO香江二期,顺庆清泉坝清池路19号,高层(共27层),
恒大中航城(二期),顺庆清泉坝澄泉路,低层(共26层),
美宇凤凰城,顺庆市政新区四海街81号,低层(共6层),
蓝光COCO香江二期,顺庆清泉坝清池路19号,中层(共27层),
蓝光COCO香江二期,顺庆清泉坝清池路19号,中层(共27层),
恒大中航城(二期),顺庆清泉坝澄泉路,中层(共27层),
蓝光COCO香江二期,顺庆清泉坝清池路19号,低层(共27层),
青山岭地,顺庆白土坝西华路二段117号,低层(共6层),
博雅豪庭,顺庆白土坝潆华南路二段158号,中层(共25层),
石油新城东二区,顺庆市政新区镇江东路二段17号,高层(共11层),
恒河罗曼威森,顺庆华凤北湖路99号,中层(共18层),
欧香小镇,顺庆白土坝潆华中路二段429号,中层(共26层),
汇金国际,顺庆白土坝白土坝路239号,低层(共28层),
鸿通南充院子,顺庆华凤佳华路219号,低层(共11层),
美宇凤凰城,顺庆市政新区四海街81号,低层(共6层),
铁投锦华府,顺庆华凤锦程路108号,中层(共27层),
佳兆业君汇上品,顺庆白土坝白土坝路308号,高层(共33层),
佳兆业君汇上品,顺庆白土坝白土坝路308号,高层(共33层),
泰合尚渡,顺庆金鱼岭滨江中路一段97号,中层(共19层),
